TradeID,TradeDate,ValueDate,TradeTime,TraderID,Counterparty,CurrencyPair,BuySell,DealtCurrency,BaseCurrency,TermCurrency,NotionalAmount,FXRate,TradeStatus,SettlementStatus,SettlementMethod,Broker,ExecutionVenue,ProductType,MaturityDate,ConfirmationTimestamp,SettlementDate,BookingLocation,Portfolio,TradeVersion,CancellationFlag,AmendmentFlag,RiskSystemID,RegulatoryReportingStatus,TradeSourceSystem,ConfirmationMethod,ConfirmationStatus,SettlementInstructions,Custodian,NettingEligibility,TradeComplianceStatus,KYCCheck,SanctionsScreening,ExceptionFlag,ExceptionNotes,AuditTrailRef,CommissionAmount,CommissionCurrency,BrokerageFee,BrokerageCurrency,CustodyFee,CustodyCurrency,SettlementCost,SettlementCurrency,FXGainLoss,PnlCalculated,CostAllocationStatus,CostCenter,ExpenseApprovalStatus,CostBookedDate
FX0001,5/11/2025,5/16/2025,14:07:18,TDR446,HSBC,EUR/USD,Sell,USD,EUR,USD,500000,97.9964,Cancelled,Settled,CLS,ICAP,Bloomberg,Forward,53:00.1,5/11/2025 13:53,5/16/2025,New York,PORT3,3,Yes,No,RSK3150,Filed,Murex,SWIFT,Pending,Special,BNY Mellon,Yes,Passed,Pending,Pending Review,Yes,Rate mismatch,AUD47808,686.65,USD,63.49,USD,81.05,EUR,47.99,USD,-1235.2,-662.31,Failed,FX_FIN_03,Rejected,5/13/2025
FX0002,5/24/2025,5/26/2025,11:06:26,TDR983,Citi,USD/CHF,Sell,CHF,USD,CHF,1500000,44.76,Cancelled,Settled,Wire,ICAP,EBS,Spot,,5/24/2025 12:53,5/26/2025,Singapore,PORT3,3,Yes,No,RSK8961,Required,Custom,Manual,Confirmed,Standard,BNY Mellon,No,Failed,Complete,Clear,No,Counterparty mismatch,AUD82029,596.53,CHF,429.11,CHF,93.11,USD,134.88,CHF,-887.67,-9751.9,Allocated,FX_OPS_01,Under Review,5/26/2025
FX0003,5/19/2025,5/22/2025,23:57:16,TDR347,Citi,USD/JPY,Buy,USD,USD,JPY,2000000,115.5779,Settled,Failed,CLS,BGC Partners,360T,Forward,53:00.1,5/19/2025 14:53,5/22/2025,Singapore,PORT1,2,Yes,No,RSK5873,Filed,Murex,Manual,Pending,Urgent,JP Morgan,Yes,Passed,Pending,Clear,Yes,Missing documentation,AUD36463,352.68,JPY,313.77,JPY,139.73,USD,32.82,JPY,1187.07,5731.87,Pending,FX_FIN_03,Under Review,5/21/2025
FX0004,6/3/2025,6/5/2025,20:25:10,TDR264,JPMorgan,USD/JPY,Buy,USD,USD,JPY,1000000,112.8647,Cancelled,Settled,Wire,Tullett Prebon,Bloomberg,Spot,,6/3/2025 10:53,6/5/2025,Singapore,PORT1,1,No,Yes,RSK8642,Required,Murex,Email,Confirmed,Standard,HSBC Custody,No,Failed,Pending,Flagged,No,Rate mismatch,AUD23689,275.56,JPY,231.6,JPY,75.13,USD,38.61,JPY,-3571.2,-2977.74,Pending,FX_OPS_01,Under Review,6/6/2025
FX0005,5/28/2025,6/2/2025,23:34:44,TDR180,HSBC,USD/INR,Buy,USD,USD,INR,1500000,126.6499,Cancelled,Pending,Netting,Tullett Prebon,EBS,Swap,53:00.1,5/28/2025 13:53,6/2/2025,New York,PORT2,3,No,No,RSK7251,Required,Murex,Manual,Pending,Special,BNY Mellon,Yes,Passed,Incomplete,Flagged,Yes,Late booking,AUD32831,665.98,INR,420,INR,80.43,USD,85.93,INR,-1768.57,-5663.37,Pending,FX_FIN_03,Under Review,5/30/2025
FX0006,5/15/2025,5/17/2025,2:03:02,TDR604,Citi,EUR/USD,Buy,EUR,EUR,USD,1500000,38.3641,Cancelled,Failed,Netting,ICAP,Reuters,Spot,,5/15/2025 12:53,5/17/2025,London,PORT5,3,Yes,Yes,RSK5553,Required,Murex,Email,Confirmed,Special,HSBC Custody,No,Pending,Incomplete,Clear,Yes,Late booking,AUD12989,229.97,USD,137.7,USD,43.72,EUR,79.56,USD,3722.64,-9104.46,Allocated,FX_FIN_03,Under Review,5/17/2025
FX0007,5/13/2025,5/14/2025,1:48:44,TDR994,HSBC,USD/INR,Sell,INR,USD,INR,500000,131.6948,Settled,Pending,Wire,Tullett Prebon,360T,Forward,53:00.1,5/13/2025 10:53,5/14/2025,New York,PORT5,3,Yes,Yes,RSK6140,Not required,Custom,Electronic,Disputed,Special,BNY Mellon,No,Passed,Complete,Flagged,No,Late booking,AUD99673,636.77,INR,313.4,INR,172.82,USD,114.59,INR,1631.06,2026.79,Pending,FX_TRD_02,Rejected,5/14/2025
FX0008,5/15/2025,5/18/2025,23:53:24,TDR997,Citi,USD/CHF,Sell,CHF,USD,CHF,1000000,21.9091,Cancelled,Pending,CLS,BGC Partners,Reuters,Spot,,5/15/2025 13:53,5/18/2025,Mumbai,PORT4,3,No,No,RSK5409,Not required,Custom,Electronic,Disputed,Special,JP Morgan,No,Pending,Complete,Clear,Yes,Counterparty mismatch,AUD22012,767.04,CHF,367.54,CHF,153.15,USD,89.79,CHF,804.27,-5958.18,Pending,FX_OPS_01,Approved,5/16/2025
FX0009,6/6/2025,6/11/2025,21:05:03,TDR662,Deutsche,GBP/USD,Buy,GBP,GBP,USD,1000000,146.0822,Cancelled,Pending,Netting,BGC Partners,360T,Swap,53:00.1,6/6/2025 10:53,6/11/2025,London,PORT4,2,Yes,No,RSK3242,Not required,Custom,Email,Confirmed,Special,State Street,No,Passed,Complete,Clear,No,,AUD11882,816.92,USD,289.86,USD,181.93,GBP,33.64,USD,964.64,3927.49,Pending,FX_FIN_03,Under Review,6/7/2025
FX0010,5/28/2025,5/30/2025,1:55:39,TDR798,BNP Paribas,USD/CHF,Buy,USD,USD,CHF,1000000,101.4759,Settled,Failed,Netting,Tullett Prebon,Reuters,Swap,53:00.1,5/28/2025 10:53,5/30/2025,London,PORT1,1,Yes,Yes,RSK3461,Required,Summit,Email,Pending,Urgent,State Street,No,Failed,Complete,Pending Review,No,Late booking,AUD84696,701.09,CHF,307.57,CHF,180.3,USD,68.13,CHF,-4783.35,-7541.58,Failed,FX_TRD_02,Rejected,5/31/2025
FX0011,5/30/2025,6/1/2025,21:56:17,TDR109,Deutsche,USD/INR,Buy,USD,USD,INR,1000000,56.4446,Booked,Settled,CLS,ICAP,Bloomberg,Spot,,5/30/2025 14:53,6/1/2025,Singapore,PORT4,3,No,Yes,RSK3910,Not required,Calypso,Electronic,Pending,Special,State Street,No,Pending,Complete,Clear,Yes,Rate mismatch,AUD12056,116.99,INR,339.7,INR,104.72,USD,84.42,INR,4302.45,7647.49,Pending,FX_FIN_03,Under Review,5/31/2025
FX0012,5/16/2025,5/19/2025,13:25:00,TDR564,Citi,USD/INR,Sell,INR,USD,INR,1500000,130.0914,Confirmed,Failed,Netting,BGC Partners,EBS,Forward,53:00.1,5/16/2025 13:53,5/19/2025,Mumbai,PORT4,3,No,No,RSK9388,Required,Custom,SWIFT,Disputed,Standard,JP Morgan,No,Passed,Complete,Clear,Yes,Late booking,AUD38570,530.08,INR,374.56,INR,36.46,USD,108.83,INR,2426.52,6535.46,Failed,FX_FIN_03,Rejected,5/17/2025
FX0013,5/17/2025,5/19/2025,23:34:24,TDR634,Citi,AUD/USD,Sell,USD,AUD,USD,500000,159.3792,Booked,Pending,Netting,ICAP,Bloomberg,Spot,,5/17/2025 12:53,5/19/2025,New York,PORT5,3,No,No,RSK9709,Not required,Custom,Manual,Pending,Special,BNY Mellon,Yes,Failed,Complete,Flagged,No,,AUD61290,558.33,USD,357.55,USD,23.05,AUD,108.76,USD,3962,-6984.79,Failed,FX_FIN_03,Approved,5/18/2025
FX0014,6/8/2025,6/9/2025,3:19:24,TDR994,Deutsche,GBP/USD,Sell,USD,GBP,USD,1000000,147.5993,Confirmed,Settled,Netting,BGC Partners,360T,Forward,53:00.1,6/8/2025 10:53,6/9/2025,London,PORT2,1,Yes,No,RSK9362,Filed,Murex,Email,Disputed,Special,State Street,Yes,Passed,Incomplete,Clear,No,Missing documentation,AUD74648,938.24,USD,96.83,USD,61.58,GBP,85.86,USD,-2262.86,-9633.24,Pending,FX_FIN_03,Rejected,6/10/2025
FX0015,6/2/2025,6/6/2025,17:54:05,TDR373,Citi,AUD/USD,Buy,AUD,AUD,USD,1000000,61.4994,Settled,Settled,Wire,ICAP,Bloomberg,Spot,,6/2/2025 11:53,6/6/2025,Singapore,PORT1,2,Yes,No,RSK5507,Filed,Custom,SWIFT,Confirmed,Urgent,State Street,No,Pending,Complete,Clear,Yes,Missing documentation,AUD31665,316.64,USD,420.16,USD,20.07,AUD,24.28,USD,-2221.59,-8955.02,Failed,FX_OPS_01,Approved,6/3/2025
FX0016,5/18/2025,5/22/2025,4:46:14,TDR821,JPMorgan,USD/INR,Buy,USD,USD,INR,1000000,130.4641,Booked,Failed,Netting,BGC Partners,Bloomberg,Forward,53:00.1,5/18/2025 10:53,5/22/2025,Mumbai,PORT2,2,Yes,No,RSK9785,Not required,Murex,Email,Confirmed,Urgent,HSBC Custody,No,Pending,Pending,Pending Review,Yes,Counterparty mismatch,AUD87157,942.32,INR,214.32,INR,45.11,USD,63.34,INR,1341.21,5645.99,Failed,FX_FIN_03,Rejected,5/20/2025
FX0017,6/3/2025,6/7/2025,20:18:45,TDR137,BNP Paribas,USD/CHF,Sell,CHF,USD,CHF,1500000,140.5233,Cancelled,Failed,Netting,BGC Partners,EBS,Spot,,6/3/2025 14:53,6/7/2025,New York,PORT3,1,No,Yes,RSK6116,Not required,Custom,Manual,Disputed,Urgent,State Street,No,Failed,Incomplete,Clear,Yes,Rate mismatch,AUD58185,942.23,CHF,253.22,CHF,153.38,USD,21.36,CHF,3267.78,46.1,Pending,FX_TRD_02,Under Review,6/5/2025
FX0018,5/15/2025,5/16/2025,13:45:48,TDR603,BNP Paribas,USD/INR,Buy,USD,USD,INR,2000000,98.5252,Cancelled,Failed,CLS,BGC Partners,Reuters,Swap,53:00.1,5/15/2025 10:53,5/16/2025,London,PORT4,2,Yes,Yes,RSK6408,Filed,Murex,SWIFT,Pending,Special,State Street,No,Failed,Incomplete,Clear,Yes,Rate mismatch,AUD60118,134.78,INR,92.85,INR,184.77,USD,146.03,INR,115.66,-5849.65,Failed,FX_TRD_02,Rejected,5/17/2025
FX0019,5/25/2025,5/28/2025,0:56:26,TDR113,Citi,USD/JPY,Sell,JPY,USD,JPY,500000,97.584,Booked,Settled,Netting,ICAP,Bloomberg,Swap,53:00.1,5/25/2025 13:53,5/28/2025,Mumbai,PORT3,2,Yes,Yes,RSK5610,Filed,Custom,Email,Confirmed,Standard,State Street,Yes,Pending,Incomplete,Pending Review,No,Rate mismatch,AUD44898,996.35,JPY,65.16,JPY,129.91,USD,60.32,JPY,3736.09,1342.68,Allocated,FX_OPS_01,Under Review,5/26/2025
FX0020,5/29/2025,6/3/2025,10:33:57,TDR894,JPMorgan,GBP/USD,Buy,GBP,GBP,USD,2000000,82.3857,Booked,Pending,Netting,BGC Partners,Reuters,Swap,53:00.1,5/29/2025 11:53,6/3/2025,Singapore,PORT3,1,Yes,No,RSK1920,Not required,Custom,Electronic,Pending,Urgent,BNY Mellon,No,Passed,Incomplete,Flagged,Yes,Late booking,AUD22975,484.12,USD,58.73,USD,66.48,GBP,20.43,USD,-664.8,-8673.24,Failed,FX_OPS_01,Rejected,5/31/2025
FX0021,5/15/2025,5/16/2025,10:05:00,TDR937,Deutsche,USD/CHF,Buy,USD,USD,CHF,1500000,105.3439,Booked,Failed,CLS,ICAP,Bloomberg,Forward,53:00.1,5/15/2025 13:53,5/16/2025,Singapore,PORT3,2,Yes,No,RSK6151,Not required,Summit,Email,Confirmed,Urgent,HSBC Custody,No,Passed,Complete,Clear,No,,AUD14775,740.49,CHF,58.97,CHF,47.09,USD,141.17,CHF,3172.05,-6382.14,Allocated,FX_FIN_03,Approved,5/17/2025
FX0022,6/2/2025,6/7/2025,15:10:41,TDR319,Deutsche,GBP/USD,Buy,GBP,GBP,USD,1000000,141.8921,Cancelled,Settled,CLS,BGC Partners,EBS,Spot,,6/2/2025 14:53,6/7/2025,London,PORT3,1,Yes,No,RSK2291,Required,Calypso,Electronic,Confirmed,Standard,State Street,No,Passed,Pending,Flagged,No,Counterparty mismatch,AUD94736,869,USD,411.07,USD,151.71,GBP,58.2,USD,3507.63,2683.28,Failed,FX_TRD_02,Approved,6/5/2025
FX0023,5/14/2025,5/16/2025,5:33:36,TDR567,JPMorgan,AUD/USD,Sell,USD,AUD,USD,1500000,3.6996,Cancelled,Failed,CLS,ICAP,EBS,Swap,53:00.1,5/14/2025 11:53,5/16/2025,Mumbai,PORT5,3,No,No,RSK2487,Not required,Calypso,Manual,Pending,Special,JP Morgan,Yes,Failed,Incomplete,Pending Review,Yes,Rate mismatch,AUD13319,573.63,USD,299.41,USD,159.87,AUD,19.92,USD,-1547.63,3569.9,Pending,FX_TRD_02,Approved,5/17/2025
FX0024,5/20/2025,5/21/2025,19:07:07,TDR785,JPMorgan,USD/JPY,Buy,USD,USD,JPY,500000,95.1377,Confirmed,Failed,CLS,BGC Partners,Bloomberg,Spot,,5/20/2025 10:53,5/21/2025,Mumbai,PORT5,3,Yes,No,RSK1009,Not required,Calypso,Electronic,Disputed,Urgent,BNY Mellon,No,Failed,Complete,Pending Review,Yes,Rate mismatch,AUD94843,536.22,JPY,110.64,JPY,186.37,USD,30.67,JPY,-3281.75,3304.06,Allocated,FX_TRD_02,Rejected,5/21/2025
FX0025,5/23/2025,5/26/2025,18:23:30,TDR679,Citi,GBP/USD,Sell,USD,GBP,USD,1500000,19.7948,Settled,Failed,Wire,ICAP,EBS,Forward,53:00.1,5/23/2025 13:53,5/26/2025,Singapore,PORT4,1,No,No,RSK2249,Not required,Custom,Email,Disputed,Special,State Street,No,Passed,Incomplete,Flagged,No,Late booking,AUD34247,345.61,USD,215.18,USD,63.46,GBP,56.34,USD,2600.7,2841.63,Allocated,FX_FIN_03,Rejected,5/24/2025
FX0026,5/30/2025,5/31/2025,8:26:02,TDR834,BNP Paribas,AUD/USD,Buy,AUD,AUD,USD,2000000,108.8821,Cancelled,Settled,Wire,BGC Partners,360T,Forward,53:00.1,5/30/2025 11:53,5/31/2025,New York,PORT3,3,Yes,No,RSK2303,Filed,Summit,SWIFT,Pending,Special,JP Morgan,No,Failed,Complete,Pending Review,Yes,Missing documentation,AUD92719,481.35,USD,190.43,USD,27.13,AUD,52.5,USD,3231.73,-1181.04,Pending,FX_OPS_01,Under Review,5/31/2025
FX0027,5/31/2025,6/3/2025,1:40:31,TDR447,Deutsche,EUR/USD,Buy,EUR,EUR,USD,500000,78.2592,Confirmed,Settled,CLS,ICAP,EBS,Spot,,5/31/2025 14:53,6/3/2025,London,PORT5,2,Yes,Yes,RSK1770,Required,Summit,Electronic,Pending,Urgent,JP Morgan,Yes,Failed,Complete,Pending Review,No,Rate mismatch,AUD18468,699.46,USD,54.43,USD,93.2,EUR,72.33,USD,3175.53,7985.87,Allocated,FX_OPS_01,Under Review,6/3/2025
FX0028,5/19/2025,5/24/2025,22:17:34,TDR204,Citi,EUR/USD,Buy,EUR,EUR,USD,500000,111.3476,Confirmed,Settled,CLS,BGC Partners,EBS,Forward,53:00.1,5/19/2025 13:53,5/24/2025,London,PORT1,1,Yes,Yes,RSK6323,Required,Summit,Manual,Confirmed,Special,BNY Mellon,No,Failed,Incomplete,Clear,Yes,Late booking,AUD33004,954.99,USD,109.17,USD,155.77,EUR,144.34,USD,1066.11,2234.68,Failed,FX_TRD_02,Rejected,5/20/2025
FX0029,5/25/2025,5/27/2025,17:48:46,TDR450,HSBC,USD/CHF,Buy,USD,USD,CHF,1000000,119.5391,Cancelled,Pending,Netting,Tullett Prebon,Reuters,Swap,53:00.1,5/25/2025 12:53,5/27/2025,London,PORT4,1,Yes,Yes,RSK2123,Required,Summit,Manual,Pending,Urgent,BNY Mellon,No,Pending,Incomplete,Flagged,Yes,Counterparty mismatch,AUD96701,229.09,CHF,240.58,CHF,145.44,USD,104.88,CHF,-2244.61,8690.47,Pending,FX_FIN_03,Under Review,5/26/2025
FX0030,5/9/2025,5/13/2025,15:08:29,TDR424,JPMorgan,AUD/USD,Sell,USD,AUD,USD,500000,5.1123,Booked,Settled,Netting,ICAP,Bloomberg,Forward,53:00.1,5/9/2025 11:53,5/13/2025,Mumbai,PORT1,1,Yes,Yes,RSK2332,Not required,Summit,SWIFT,Pending,Standard,State Street,Yes,Pending,Pending,Flagged,No,Late booking,AUD47881,225.41,USD,335.55,USD,165.75,AUD,149.05,USD,-698.85,4643.31,Allocated,FX_OPS_01,Under Review,5/11/2025
FX0031,6/6/2025,6/7/2025,13:57:16,TDR727,Citi,USD/INR,Sell,INR,USD,INR,2000000,39.1513,Booked,Settled,Wire,Tullett Prebon,EBS,Forward,53:00.1,6/6/2025 11:53,6/7/2025,New York,PORT1,2,No,Yes,RSK1782,Required,Murex,Email,Pending,Urgent,JP Morgan,Yes,Failed,Pending,Clear,Yes,,AUD80415,150.1,INR,105.1,INR,27.95,USD,57.11,INR,428.21,7254.2,Pending,FX_OPS_01,Approved,6/7/2025
FX0032,5/28/2025,5/29/2025,23:28:16,TDR141,Citi,USD/CHF,Sell,CHF,USD,CHF,500000,23.3811,Settled,Settled,Netting,BGC Partners,360T,Spot,,5/28/2025 14:53,5/29/2025,London,PORT3,3,No,Yes,RSK6726,Not required,Calypso,Email,Confirmed,Standard,HSBC Custody,Yes,Pending,Complete,Flagged,No,Counterparty mismatch,AUD10484,476.53,CHF,140.2,CHF,96.37,USD,10.41,CHF,4720.28,-4230.87,Pending,FX_TRD_02,Under Review,5/31/2025
FX0033,5/22/2025,5/25/2025,19:21:12,TDR523,Deutsche,AUD/USD,Buy,AUD,AUD,USD,500000,115.2744,Confirmed,Settled,CLS,BGC Partners,Reuters,Forward,53:00.1,5/22/2025 10:53,5/25/2025,Singapore,PORT5,1,Yes,Yes,RSK8141,Not required,Murex,Email,Disputed,Special,JP Morgan,No,Failed,Incomplete,Clear,Yes,Late booking,AUD11222,405.15,USD,448.29,USD,26.55,AUD,132.06,USD,-641.74,7929.97,Pending,FX_OPS_01,Under Review,5/25/2025
FX0034,5/19/2025,5/24/2025,4:01:40,TDR807,Deutsche,USD/JPY,Buy,USD,USD,JPY,2000000,102.2079,Booked,Failed,Netting,Tullett Prebon,EBS,Spot,,5/19/2025 10:53,5/24/2025,Mumbai,PORT4,3,No,Yes,RSK7960,Filed,Calypso,Electronic,Pending,Special,HSBC Custody,Yes,Failed,Pending,Clear,No,Counterparty mismatch,AUD54690,688.75,JPY,468,JPY,130.79,USD,53.98,JPY,2910.94,-6349.68,Pending,FX_TRD_02,Approved,5/22/2025
FX0035,6/2/2025,6/3/2025,7:12:02,TDR774,HSBC,USD/CHF,Sell,CHF,USD,CHF,2000000,17.2176,Cancelled,Settled,Netting,BGC Partners,Bloomberg,Swap,53:00.1,6/2/2025 14:53,6/3/2025,London,PORT4,1,Yes,No,RSK9682,Not required,Summit,SWIFT,Pending,Special,HSBC Custody,Yes,Passed,Incomplete,Pending Review,No,Missing documentation,AUD68981,305.11,CHF,188.49,CHF,188.08,USD,85.2,CHF,2758.35,5262.17,Failed,FX_FIN_03,Rejected,6/4/2025
FX0036,5/13/2025,5/17/2025,13:41:51,TDR681,JPMorgan,USD/JPY,Sell,JPY,USD,JPY,500000,112.2961,Confirmed,Settled,Wire,BGC Partners,EBS,Swap,53:00.1,5/13/2025 13:53,5/17/2025,New York,PORT3,2,Yes,No,RSK1597,Not required,Custom,Email,Disputed,Standard,JP Morgan,Yes,Pending,Complete,Clear,No,Missing documentation,AUD68050,532.67,JPY,319.73,JPY,40.08,USD,25.3,JPY,-4074.42,-3939.17,Allocated,FX_TRD_02,Approved,5/15/2025
FX0037,5/18/2025,5/21/2025,11:25:09,TDR758,Citi,AUD/USD,Buy,AUD,AUD,USD,1000000,11.976,Booked,Settled,Wire,ICAP,360T,Swap,53:00.1,5/18/2025 12:53,5/21/2025,Singapore,PORT5,3,Yes,No,RSK8070,Filed,Murex,Electronic,Confirmed,Standard,JP Morgan,No,Pending,Pending,Pending Review,No,Missing documentation,AUD41726,994.74,USD,107.18,USD,98.16,AUD,145.25,USD,-1264.52,8441.43,Pending,FX_FIN_03,Rejected,5/20/2025
FX0038,5/31/2025,6/5/2025,8:20:38,TDR298,Deutsche,USD/CHF,Sell,CHF,USD,CHF,500000,115.3583,Settled,Settled,Wire,BGC Partners,Reuters,Forward,53:00.1,5/31/2025 11:53,6/5/2025,New York,PORT2,2,No,No,RSK9614,Required,Custom,Email,Confirmed,Standard,BNY Mellon,Yes,Failed,Pending,Pending Review,Yes,Missing documentation,AUD13255,254.17,CHF,441.53,CHF,26.24,USD,103.62,CHF,3326.24,7356.39,Pending,FX_FIN_03,Approved,6/3/2025
